child_name,child_domain,parent_name,parent_domain,verified,evidence,verification_method,date_added
Newmark UK,nmrk.com,"Cantor Fitzgerald Holdings, L.P.",cantor.com,Yes,Cantor Fitzgerald Holdings controls Newmark Group as confirmed in Cantor Fitzgerald Wikipedia article.,LLM+web search (optimized),2026-02-28 01:21
Nationale-Nederlanden,nn.nl,NN Group N.V.,nn-group.com,Yes,"Nationale-Nederlanden is the well-documented core insurance subsidiary of NN Group N.V., a Dutch listed financial services group.",LLM+web search,2026-05-27 02:39
NOBA Bank Group,noba.bank,"Nordic Capital Fund IX, Nordic Capital Fund VIII, and Sampo Holdings AB.",nordiccapital.com,Yes,Nordic Capital Wikipedia confirms NOBA Bank Group as portfolio company.,LLM+web search (optimized),2026-03-31 12:04
Nodle,nodle.com,Intergalactic Labs,nodle.com,Yes,Intergalactic Labs Inc. is the legal corporate entity behind the Nodle brand/domain (nodle.com) — same company operating under its legal name.,LLM+web search,2026-05-15 16:08
Nohup,nohup.it,Havas Group S.A.,havas.com,Yes,"Havas Group publicly announced (press release, LBBOnline, Vivendi) its acquisition of Nohup, a digital transformation agency in Italy, in October 2021.",LLM+web search,2026-05-15 16:05
,nolos.org,"Internet Brands, Inc.",internetbrands.com,Yes,Internet Brands acquired Nolo for $21M in 2011; operates as subsidiary within Internet Brands' legal division.,LLM+web search (optimized),2026-03-01 08:33
Nomad,nomadglobal.com,Nomad Fintech Inc.,nomadglobal.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:32
Nomasystems S.L.,nomasystems.es,Plexus Tech,plexus.es,Yes,"Plexus Tech acquired Nomasystems S.L. (Spain) on April 23, 2024.",LLM+web search (optimized),2026-05-15 15:39
Nordea,nordea.com,Nordea Bank Abp,nordea.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:23
Nordnet Bank AB,nordnetab.com,Nordnet AB (publ),nordnetab.com,Yes,Nordnet's official corporate site confirms Nordnet Bank AB is a subsidiary of parent holding company Nordnet AB (publ).,LLM+web search,2026-07-11 09:07
Nordplay Group,nordplay.com,Nordplay Holding Ltd.,nordplay.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 04:19
Norfolk Southern,norfolksouthern.com,Norfolk Southern Corporation.,norfolksouthern.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:35
Norion Bank,norionbank.se,"Norion Bank Group AB (publ) - publicly listed, controls Norion Bank AB.",norionbank.se,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:32
Noroff,noroff.no,Galileo Global Education,ggeedu.com,Yes,Galileo Global Education holds 51% majority stake in Noroff Education AS.,LLM+web search (optimized),2026-05-15 15:38
Northern Trust,northerntrust.com,Northern Trust Corporation,northerntrust.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-24 14:22
Northmill Bank,northmill.com,Northmill Group AB,northmill.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:38
Northrop Grumman,northropgrumman.com,New Northrop Grumman Corporation,northropgrumman.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-25 11:58
Northside Hospital,northside.com,Northside Health Services INC.,northside.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-02-03 02:30
Northwestern Mutual,northwesternmutual.com,The Northwestern Mutual Life Insurance Company.,northwesternmutual.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:34
Not Just Analytics,notjustanalytics.com,Magno Hack Srl.,notjustanalytics.com,Yes,"The Not Just Analytics app (notjustanalytics.com) is developed and owned by Magno Hack Srl per its own app store listings, so the ""parent"" is simply the legal entity behind its own product/brand.",LLM+web search,2026-05-15 16:15
Novabook,novabook.com,Plaid Financial Ltd.,plaid.com,Yes,"Novabook is trading name of Basilica Services Ltd, authorized payment agent of Plaid Financial Ltd.",LLM+web search (optimized),2026-02-09 04:31
Nova,novatalent.com,NGlobal Holding AB.,novatalent.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:31
Novo Nordisk,novonordisk.com,Novo Nordisk Foundation,novonordiskfonden.dk,Yes,Novo Holdings A/S (wholly owned by Foundation) controls 77.1% voting shares of Novo Nordisk.,LLM+web search (optimized),2025-09-22 17:30
Now Micro,nowmicro.com,"Trafera, Inc.",trafera.com,Yes,"Trafera announced (Oct 2024, PR Newswire) its acquisition of Now Micro, confirmed on both companies' own blogs/newsroom.",LLM+web search,2026-05-15 16:00
NPMX,npmx.dev,"GitHub, Inc.",github.com,Yes,GitHub acquired npm in 2020 (NPMX likely refers to npm registry/package).,LLM+web search (optimized),2026-03-23 09:23
Newark Public Schools,nps.k12.nj.us,Newark Board of Education,nps.k12.nj.us,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-24 12:12
National Rugby League,nrl.com,Australian Rugby League Commission (ARLC),nrl.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:33
Flutter Brazil,nsx.bet,Flutter Entertainment plc.,flutter.com,Yes,Flutter Entertainment completed acquisition of 56% stake in NSX Group (Flutter Brazil) in May 2025 for $350 million.,LLM+web search (optimized),2026-05-15 15:35
Ntegra,ntegra.com,Actica Consulting Ltd.,actica.co.uk,Yes,Actica Consulting acquired Ntegra in August 2024; Ntegra became part of the Actica Group.,LLM+web search,2026-05-15 15:52
Netsmart,ntst.com,GI Partners and TA Associates,ta.com,Yes,GI Partners and TA Associates collectively own approximately 80% of Netsmart (majority control).,LLM+web search (optimized),2025-08-15 15:16
Nubika - Cloud Solutions,nubikadigital.com,Inetum S.A.,inetum.com,Yes,"Inetum acquired Nubika (nubikadigital.com), a Madrid-based Salesforce partner, in June 2024 per Inetum's own press release and Crunchbase/PitchBook records.",LLM+web search,2026-05-15 15:57
Nucoro (acquired by Backbase),nucoro.com,Backbase B.V.,backbase.com,Yes,"Backbase announced and completed its acquisition of digital wealth platform Nucoro in June 2023, per Backbase's own press release and multiple fintech news outlets.",LLM+web search,2026-05-15 16:13
Numan,numan.com,Vir Health Limited.,numan.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:37
Numerator,numerator.com,Kantar Group,kantar.com,Yes,Kantar Group acquired Numerator in July 2021; owned at the time of this dataset.,LLM+web search (optimized),2026-02-24 20:13
Numerix,numerix.com,Genstar Capital,gencap.com,Yes,Numerix is a portfolio company of Genstar Capital (44 portfolio companies as of June 2026).,LLM+web search (optimized),2026-05-15 15:33
American Nurses Association,nursingworld.org,American Nurses Association (ANA),nursingworld.org,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:32
EY,nuvalence.io,Ernst & Young Global Ltd.,ey.com,Yes,"EY publicly announced acquisition of Nuvalence in April/May 2024 (Cooley, EY newsroom, multiple press coverage).",LLM+web search,2026-05-15 16:11
"Nuvalent, Inc.",nuvalent.com,GSK plc,gsk.com,Yes,GSK's indirect subsidiary commenced tender offer to acquire all outstanding shares of Nuvalent; becoming wholly-owned subsidiary.,LLM+web search (optimized),2026-05-15 15:38
nuvini,nuvini.co,Nuvini Group Limited,nuvini.co,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-25 08:36
nventive x Wepoint,nventive.com,"Onepoint, through the merger with Logient and nventive.",groupeonepoint.com,Yes,Onepoint merged with Logient nventive in 2025 to create Wepoint; Onepoint's North American operations are now part of the merged Wepoint entity.,LLM+web search,2026-05-15 15:54
NYC Health + Hospitals,nychealthandhospitals.org,"City of New York, NY (Municipal System) Inc.",nyc.gov,Yes,"NYC Health + Hospitals is a public benefit corporation owned and operated by City of New York, the largest municipal health system in the US.",LLM+web search (optimized),2025-08-19 12:24
NYC Health + Hospitals/South Brooklyn Health,nychhc.org,City of New York,nyc.gov,Yes,NYC Health + Hospitals is a public benefit corporation created by New York State Legislature and owned/operated by City of New York since 1969.,LLM+web search (optimized),2026-02-04 14:29
NYLIFE Securities LLC,nylifesecurities.com,New York Life Insurance Company,newyorklife.com,Yes,NYLIFE Securities LLC is a wholly owned subsidiary and registered broker-dealer of New York Life Insurance Company.,LLM+web search (optimized),2025-09-19 10:23
The New York Stem Cell Foundation,nyscf.org,"The Jackson Laboratory (TJL) and New York Stem Cell Foundation (NYSCF). They are interconnected, with TJL acquiring and seemingly controlling the foun...",nyscf.org,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-02-16 11:14
Nyu Hospitals Center,nyumc.org,New York University (NYU),nyu.edu,Yes,"NYU Hospitals Center is part of NYU Langone Health System, which is a subsidiary of New York University.",LLM+web search (optimized),2026-01-26 12:16
nyx,nyx.cool,L'Oréal S.A.,loreal.com,Yes,L'Oréal acquired NYX Cosmetics in June 2014 for $500 million; it is now a wholly-owned subsidiary of L'Oréal.,LLM+web search (optimized),2026-03-23 09:28
Nyx,nyxkd.ro,"L'Oréal Group, Inc.",loreal.com,Yes,L'Oréal acquired Nyx Professional Makeup in June 2014; it is a majority-owned subsidiary of L'Oréal Group.,LLM+web search (optimized),2026-03-01 08:34
Oakworth Capital Bank,oakworth.com,Oakworth Capital Bank Inc.,oakworth.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:40
Oldcastle BuildingEnvelope,obe.com,Oldcastle BuildingEnvelope®,obe.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-09 23:35
Obra Capital,obra.com,RedBird Capital Partners Inc.,redbirdcap.com,Yes,RedBird Capital Partners website lists Obra Capital among its portfolio companies.,LLM+web search (optimized),2026-05-15 15:45
Obra,obrajobs.com,"Obra Capital Management, LLC",obra.com,Yes,"obrajobs.com is simply Obra Capital Management's own official careers/jobs page (obra.com/jobs), i.e. the same company, not a separate acquired entity.",LLM+web search,2026-06-02 12:57
Bindplane,observiq.com,Dynatrace Holdings Corporation,dynatrace.com,Yes,"Dynatrace acquired Bindplane in April 2026, establishing it as a wholly-owned subsidiary to expand its telemetry pipeline and log management capabilities.",LLM+web search,2026-05-15 15:55
Obviously,obviously.digital,RWS Group plc.,rws.com,Yes,RWS Holdings plc acquired Obviously in 2024-2025 for £16.5 million initial payment plus earn-outs.,LLM+web search (optimized),2026-03-09 09:59
OCHO,ocho.co,Ocho Holdings Co.,ocho.co,Yes,OCHO's own 'About Us' page confirms OCHO Holdings Co. is the holding company that owns the OCHO insurance business (both share the ocho.co domain).,LLM+web search,2026-06-29 14:05
OCP Group,ocpgroup.ma,OCP S.A.,ocpgroup.ma,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-31 17:15
ODDITY,oddity.com,Oddity Tech Ltd.,oddity.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:32
oddity (now WongDoody),odt.net,Infosys,infosys.com,Yes,"Infosys acquired Oddity (Germany, odt.net) in 2022 for digital marketing capabilities.",LLM+web search (optimized),2026-03-01 08:34
Odys - Travel Software,odys.travel,Evaneos,evaneos.com,Yes,"Multiple travel-industry news outlets (Tourmag, JaimeLesStartups, Écho Touristique) confirm Evaneos acquired Odys - Travel Software in April 2025.",LLM+web search,2026-05-27 17:10
ÖBAG,oebag.gv.at,Die Österreichische Beteiligungs AG (ÖBAG) - controlling entity of the Republic of Austria in its companies.,oebag.gv.at,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:23
OfferFit by Braze,offerfit.ai,Braze Inc.,braze.com,Yes,"Braze announced a definitive agreement to acquire OfferFit and completed the $325M acquisition on June 2, 2025.",LLM+web search,2026-05-15 15:58
Office Practicum,officepracticum.com,"Connexin Software, Inc.",officepracticum.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:41
Officespace.vn,officespace.vn,An Cu Real Estate Service Joint Stock Company,officespace.vn,Yes,Officespace.vn's own site states it is a service provided by An Cu Real Estate Service Joint Stock Company; both share the same domain officespace.vn.,LLM+web search,2026-05-15 16:17
OHSU,ohsu.edu,Oregon Health & Science University (OHSU) is an independent public corporation and does not have a parent company.,ohsu.edu,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-08-20 14:12
"Healthcare Consulting, Pdc Transaction Partners, Llc",okcthunder.com,Professional Basketball Club LLC.,okcthunder.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-02-04 17:03
OkCupid,okcupid.com,"Match Group, Inc.",mtch.com,Yes,OkCupid is a subsidiary brand within Match Group's portfolio of dating applications.,LLM+web search (optimized),2026-04-09 20:38
OKIOK Data ltd,okiok.com,OKIOK Data Ltd.,okiok.com,Yes,"OKIOK Data Ltd. and OKIOK Data ltd are the same company entity with identical domain (okiok.com), representing the parent-subsidiary relationship through corporate naming conventions.",LLM+web search,2026-05-15 15:55
Økokrim,okokrim.no,Politidirektoratet (the Norwegian Police Directorate),politiet.no,Yes,Økokrim operates as a specialized agency/unit under Politidirektoratet oversight as part of Norwegian Police Service structure.,LLM+web search (optimized),2026-05-15 15:41
Old Mission,oldmissioncapital.com,Old Mission Group LLC,oldmissioncapital.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-12-09 13:42
Old Mutual,oldmutual.com,Old Mutual Limited (OML),oldmutual.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:23
Olive Garden,olivegarden.com,"Darden Restaurants, Inc.",darden.com,Yes,"Olive Garden is a well-known wholly-owned restaurant brand of Darden Restaurants, Inc.",LLM+web search,2026-06-09 09:04
OLX Group,olxgroup.com,Prosus,prosus.com,Yes,Prosus subsidiary OLX confirmed as 100% owned by Prosus in Naspers Wikipedia article,LLM+web search (optimized),2026-04-09 20:44
OMC,omc.co.il,Omnicom Group Inc.,omnicomgroup.com,Yes,OMC is the ticker symbol and operating brand name of Omnicom Group Inc itself.,LLM+web search (optimized),2026-05-15 15:30
"OneMain Holdings,",omf.com,"OneMain Holdings, Inc.",onemainfinancial.com,Yes,Child and parent names match after stripping legal suffix (heuristic),Heuristic,2025-09-30 15:51
"Omnicare, a CVS Health company",omnicare.com,CVS Health,cvshealth.com,Yes,CVS Health acquired Omnicare in August 2015 for $12.7 billion enterprise value as wholly owned subsidiary.,LLM+web search (optimized),2026-02-25 14:12
Omnicom,omnicomgroup.com,Omnicom Group Inc.,omnicomgroup.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-17 09:11
omnissa,omnissa.com,KKR & Co. Inc.,kkr.com,Yes,"KKR closed $4 billion acquisition of omnissa from Broadcom in July 2024, with 4,000 employees getting co-ownership.",LLM+web search (optimized),2025-07-24 09:53
Ona,ona.io,Ona Systems,ona.io,Yes,"Ona and Ona Systems share the same domain (ona.io); Ona Systems Inc. is the formal legal entity operating the Ona data-collection platform/brand, i.e. the same company.",LLM+web search,2026-05-27 10:20
One Acre Fund,oneacrefund.org,One Acre Stichting Netherlands,oneacrefund.org,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-12-17 04:28
OneChronos,onechronos.com,OCX Group Inc.,onechronos.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-10 11:09
OneDigital,onedigital.com,Digital Insurance LLC,onedigital.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:36
OneGTM,onegtm.com,Accenture Song,accenture.com,Yes,"OneGTM was acquired by Momentum ITSMA, which is part of Accenture Song, making it an indirect subsidiary of Accenture.",LLM+web search,2026-05-15 15:53
Peloton Interactive,onepeloton.com,"Peloton Interactive, Inc.",onepeloton.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-22 22:44
OneSeven Tech (OST),oneseventech.com,"17 Web Dev, LLC",oneseventech.com,Yes,"17 Web Dev, LLC is the registered legal name for OneSeven Tech (same domain oneseventech.com), i.e. the entity is the actual owner/operator of the business.",LLM+web search,2026-05-15 16:07
Cherokee Nation Entertainment,onestarrewards.com,Cherokee Nation,cherokee.org,Yes,Cherokee Nation Businesses holding company controls gaming and entertainment operations for Cherokee Nation.,LLM+web search (optimized),2025-03-16 06:28
Wabash,onewabash.com,Wabash National Corporation,onewabash.com,Yes,"Wabash is the brand of Wabash National Corporation; both share the same domain onewabash.com, confirming same-entity ownership.",LLM+web search,2026-06-12 11:52
ONLYOFFICE,onlyoffice.com,OnlyOffice Capital Group Pte. Ltd.,onlyoffice.com,Yes,"OnlyOffice Capital Group Pte. Ltd. is a 100% owner holding company established in Singapore in 2023, owning Ascensio System Limited (UK) and Ascensio System SIA (Latvia).",LLM+web search,2026-05-15 15:46
OnMobile Global Limited,onmobile.com,OnMobile LLC,onmobile.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:31
OnSource,onsource.ai,Vektiq SAS,onsource.ai,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-10-27 07:39
Onum,onum.com,"CrowdStrike Holdings, Inc.",crowdstrike.com,Yes,"CrowdStrike announced its acquisition of Onum in Aug 2025 for $290M, expected to close by Oct 2025, giving CrowdStrike full ownership.",LLM+web search,2026-05-15 16:04
OONA Insurance,oona-insurance.com,Oona Holdings Pte. Ltd.,oona-insurance.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:36
OORJAA,oorjaa.tech,Yatnavat Technologies Pvt. Ltd.,oorjaa.tech,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:47
OP Financial Group,op.fi,OP Cooperative Consolidated / OP Financial Group Central Cooperative.,op.fi,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-27 02:51
OpenBB,openbb.co,OpenBB Inc.,openbb.co,Yes,"Child and parent share the identical domain openbb.co and name OpenBB - they are the same legal entity (OpenBB Inc. is the company operating OpenBB), so ownership is by definition 100%.",LLM+web search,2026-05-15 16:08
Open Core Ventures,opencoreventures.com,We Start the Company LLC,opencoreventures.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-23 10:28
Openferry,openferry.com,Droplet Tech Ltd.,droplet.page,Yes,"Openferry (openferry.com) is operated/developed by Droplet Tech Limited, per the App Store listing and Droplet's own login portal.",LLM+web search,2026-06-26 08:08
Open Health News,openhealthnews.com,"Open Health Marketplace, LLC",openhealthnews.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-02-24 01:08
Opennote,opennote.me,Reducto,reducto.ai,Yes,Opennote.me/opennote.com homepage displays acquisition notice: 'Opennote has been acquired by Reducto to build the future of document intelligence.',LLM+web search (optimized),2025-08-07 20:09
Openprovider,openprovider.com,Hosting Concepts B.V.,openprovider.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:47
OpenZeppelin,openzeppelin.com,Zeppelin Group Ltd.,openzeppelin.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-23 09:27
Oportun,oportun.com,Oportun Financial Corporation,oportun.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-20 05:04
Optimiser,optimiser.com,Glotelligence Limited,optimiser.com,Yes,Optimiser CRM is identified as part of Glotelligence Limited; subsidiary relationship confirmed.,LLM+web search,2026-05-15 15:52
Option Care,optioncare.com,"Madison Dearborn Partners, LLC and Walgreens Boots Alliance, Inc.",walgreensbootsalliance.com,Yes,"Madison Dearborn Partners is majority owner of Option Care (acquired 2015, with Walgreens minority stake).",LLM+web search (optimized),2025-08-27 20:23
Optiver,optiver.com,Optiver Holding B.V.,optiver.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:42
Sopra Steria,ordina.com,Sopra Steria Group,soprasteria.com,Yes,Child and parent names match after stripping legal suffix (heuristic),Heuristic,2026-05-15 15:31
O'Reilly Auto Parts,oreillyauto.com,"O'Reilly Automotive, Inc.",oreillyauto.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-30 01:33
Supabase Inc,orioledb.com,Supabase Inc.,supabase.com,Yes,Child and parent names match after stripping legal suffix (heuristic),Heuristic,2026-03-23 09:23
"OS National, LLC",osnational.com,Opendoor Holdings Inc.,opendoor.com,Yes,OS National acquired by Opendoor Holdings as wholly-owned subsidiary in September 2019.,LLM+web search (optimized),2025-09-17 00:39
Ostro,ostrohealth.com,"Veeva Systems, Inc.",veeva.com,Yes,Veeva Systems acquired Ostro for approximately $100 million; Ostro is now owned by Veeva.,LLM+web search,2026-05-15 15:50
Otherlife,otherlife.xyz,MoonPay Inc.,moonpay.com,Yes,MoonPay acquired Nightshift (rebranded as Otherlife) in January 2023; Otherlife now operates as MoonPay subsidiary.,LLM+web search (optimized),2026-03-13 11:58
OtoZen: Driving and Family Safety App,otozen.com,Sensovium Inc.,otozen.com,Yes,"Press releases confirm Sensovium Inc. developed and launched the OtoZen app (same domain otozen.com), making Sensovium the owning/operating company.",LLM+web search,2026-05-15 16:13
Otsuka Pharmaceutical Companies (U.S.),otsuka-us.com,"Otsuka Holdings Co., Ltd.",otsuka.com,Yes,"Otsuka Pharmaceutical Companies (U.S.) is a wholly-owned subsidiary of Otsuka Holdings Co., Ltd.",LLM+web search (optimized),2025-09-07 01:14
Otto Group,ottogroup.com,Otto Group,ottogroup.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:23
OurDream,ourdream.ai,"Dream Studio USA, Inc.",ourdream.ai,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-01-27 18:41
First Fed,ourfirstfed.com,First Northwest Bancorp (FNWB),ourfirstfed.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:38
OUTFITTERY,outfittery.de,Lookiero Outfittery Group,lookiero.com,Yes,"Lookiero and Outfittery merged on March 6, 2025 to form Lookiero Outfittery Group (equals partnership).",LLM+web search (optimized),2026-05-15 15:43
Overlake Medical Center & Clinics,overlakehospital.org,"MultiCare Health System, Inc.",multicare.org,Yes,Overlake Medical Center joined MultiCare Health System in 2024.,LLM+web search (optimized),2026-02-19 13:52
Oxa,oxa.tech,Oxbotica,oxa.tech,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:34
P97 Networks,p97.com,PDI Technologies Inc.,pditechnologies.com,Yes,"PDI Technologies acquired P97 Networks on April 1, 2025; P97 is now wholly-owned by PDI Technologies.",LLM+web search,2026-05-15 15:53
PACK Solutions,pack-solutions.com,Groupe Vanoise,pack-solutions.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:37
"Packetcraft, Inc.",packetcraft.com,Synaptics Incorporated,synaptics.com,Yes,"Synaptics confirmed its acquisition of Packetcraft (Bluetooth LE software), integrating it into its Veros wireless connectivity portfolio.",LLM+web search,2026-05-15 16:18
Packfleet,packfleet.com,DHL Express GmbH (Deutsche Post DHL Group),group.dhl.com,Yes,"DHL acquired Packfleet in March 2025, with Packfleet's deliveries, customers, drivers and warehouse team transitioning to DHL.",LLM+web search,2026-05-15 16:07
Pa Consulting,paconsulting.com,Jacobs,jacobs.com,Yes,"Jacobs acquired 65% of PA Consulting in 2021 for $1.7B and plans to acquire remaining stake in 2026, making it majority-owned.",LLM+web search (optimized),2026-01-29 19:25
Padam Mobility,padam-mobility.com,Siemens AG,siemens.com,Yes,Padam Mobility website footer shows Siemens Mobility association; platform operates as part of Siemens Mobility.,LLM+web search (optimized),2026-05-15 15:47
PageIndex,pageindex.ai,Vectify AI,pageindex.ai,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-07 01:28
Page,pagethink.com,Stantec Inc.,stantec.com,Yes,"Stantec completed acquisition of Page (Washington, DC-based architecture firm) in August 2025.",LLM+web search (optimized),2025-12-10 09:52
Palladium Hotel Group,palladiumhotelgroup.com,Hotel Oasis Paraíso S.A.,palladiumhotelgroup.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:26
Panasonic Avionics Corporation,panasonic.aero,Panasonic Corporation of North America,na.panasonic.com,Yes,"Panasonic Avionics Corporation is confirmed to be a subsidiary of Panasonic Corporation of North America, the principal North American arm of Panasonic Corporation.",LLM+web search,2026-07-08 19:19
Panasonic Connect,panasonic.com,Panasonic Holdings Corporation,holdings.panasonic,Yes,"Panasonic Connect Co., Ltd. is an operating company and subsidiary of Panasonic Holdings Corporation, established in 2022.",LLM+web search (optimized),2026-05-15 15:23
パナソニック(株),panasonic.jp,Panasonic Holdings Corporation,holdings.panasonic,Yes,Panasonic Corporation became a subsidiary of Panasonic Holdings Corporation after 2022 reorganization.,LLM+web search,2026-05-15 15:51
Pandion,pandion.com,"Merck & Co., Inc.",merck.com,Yes,Merck acquired Pandion Therapeutics for $1.85 billion in April 2021; now fully owned subsidiary.,LLM+web search (optimized),2026-02-02 16:43
Pango Group,pangogroup.com,"Aura Consolidated Group, Inc.",aura.com,Yes,Aura acquired Pango Group in 2020 according to Aura's corporate website; Pango Group remains under Aura ownership despite 2024 separation of Point Wild brand.,LLM+web search (optimized),2026-05-15 15:45
Panther,panther.io,Databricks Inc.,databricks.com,Yes,Panther.io website states 'Panther joins Databricks to build the future of the security lakehouse.',LLM+web search (optimized),2026-01-30 10:29
Paper,paper.id,PT Pakar Digital Global.,paper.id,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:37
Paradigm,paradigmai.com,Aire Holding Corporation,paradigmai.com,Yes,"Same domain (paradigmai.com) for both records and Crunchbase confirms Aire Holding Corporation is Paradigm AI's legal/holding entity name, i.e. the parent legal entity for the same operating business.",LLM+web search,2026-06-11 09:07
Paradino,paradino.ai,Scale Up Platform Solutions Pty Ltd,paradino.ai,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-13 12:00
ParagonCorp,paragon-innovation.com,PT Paragon Technology and Innovation,paragon-innovation.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:25
Parallels,parallels.com,KKR,kkr.com,Yes,"KKR owns 100% of Parallels; acquired through Corel acquisition in 2019, retained ownership after February 2026 split.",LLM+web search (optimized),2026-05-15 15:40
Parametric,parametricportfolio.com,"Morgan Stanley Investment Management, a division of Morgan Stanley.",morganstanley.com,Yes,Parametric Portfolio Associates is a wholly owned subsidiary of Morgan Stanley Investment Management.,LLM+web search (optimized),2026-02-04 11:59
Paramount,paramount.com,Paramount Global,paramount.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-23 09:48
Parexel,parexel.com,EQT IX Fund and Goldman Sachs Asset Management,goldmansachs.com,Yes,EQT IX Fund and Goldman Sachs jointly acquired Parexel in November 2021 for $8.5 billion (>50% ownership).,LLM+web search (optimized),2026-05-15 15:23
ParkBee,parkbee.com,allGreen Group B.V.,parkbee.com,Yes,ParkBee's legal name is allGreen Group B.V.; they are the same entity with ParkBee as the operating brand.,LLM+web search,2026-05-15 15:52
Parkee,parkee.app,PT. INOVASI ANAK INDONESIA,parkee.app,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:44
,parker.style,"Newell Brands, Inc.",newellbrands.com,Yes,Parker is a confirmed Newell Brands writing instruments brand owned by Newell Brands Inc.,LLM+web search (optimized),2026-03-31 12:01
"Parnuan (Intentions Labs Co., Ltd.)",parnuan.com,"Intentions Labs Co., Ltd.",parnuan.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-13 04:52
Parthenon Consulting Group,parthenon.com,Ernst & Young Global Limited,ey.com,Yes,"Parthenon Consulting Group is EY-Parthenon, acquired by Ernst & Young in 2014.",LLM+web search (optimized),2025-09-18 21:22
Partners HealthCare,partners.org,"Mass General Brigham, Inc.",massgeneralbrigham.org,Yes,Partners HealthCare is the predecessor organization that merged into Mass General Brigham.,LLM+web search (optimized),2025-09-18 09:39
Parts Town,partstown.com,"PT Holdings, LLC.",partstown.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:44
Pasqal,pasqal.com,Pasqal Holding S.A.,pasqal.com,Yes,"Pasqal Holding SAS/SA is the group's holding entity for the operating company Pasqal (confirmed via Pasqal's SPAC merger announcement referencing ""Pasqal Holding SAS"" as the parent going public), a genuine holding-company parent structure.",LLM+web search,2026-06-10 06:58
